Flight No.,Date,Time,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
"April 7, 202602:50",F9B5B1103‑1,"Vandenberg,SLC‑4E",Starlink:Group 17-35,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"April 11, 202605:04",F9B5B1063‑32,"Vandenberg,SLC‑4E",Starlink:Group 17-21,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"April 11, 202611:41[517]",F9B5B1094‑7,"Cape Canaveral,SLC‑40",Cygnus NG-24,"5,000 kg (11,000 lb)",LEO(ISS),Northrop Grumman(CRS),Success,Success (LZ‑40)
"April 14, 202609:33[518]",F9B5B1080‑26,"Cape Canaveral,SLC‑40",Starlink:Group 10-24,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (JRTI)
"April 15, 202604:29[519]",F9B5B1082‑21,"Vandenberg,SLC‑4E",Starlink:Group 17-27,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"April 19, 202616:03[520]",F9B5B1097‑8,"Vandenberg,SLC‑4E",Starlink:Group 17-22,"~14,375 kg (31,691 lb)",LEO,SpaceX,Success,Success (OCISLY)
"April 21, 202606:53[521]",F9B5B1095‑7,"Cape Canaveral,SLC‑40",GPS III-10,"4,350 kg (9,590 lb)",MEO,USSF,Success,Success (JRTI)
"April 23, 202603:23[522]",F9B5B1100‑5,"Vandenberg,SLC‑4E",Starlink:Group 17-14,"~13,800 kg (30,400 lb)",SSO,SpaceX,Success,Success (OCISLY)
"April 26, 202614:37[523]",F9B5B1088‑15,"Vandenberg,SLC‑4E",Starlink:Group 17-16,"~14,375 kg (31,691 lb)",SSO,SpaceX,Success,Success (OCISLY)
"April 29, 202614:13[524]",Falcon HeavyB5B1098(core),"Kennedy,LC‑39A",ViaSat-3 F3,"6,400 kg (14,100 lb)",GTO,ViaSat,Success,No attempt
"April 30, 202602:42[525]",F9B5B1093‑13,"Vandenberg,SLC‑4E",Starlink:Group 17-36,"~13,800 kg (30,400 lb)",SSO,SpaceX,Success,Success (OCISLY)
"May 1, 202618:06[526]",F9B5B1069‑31,"Cape Canaveral,SLC‑40",Starlink:Group 10-38,"~16,675 kg (36,762 lb)",LEO,SpaceX,Success,Success (ASOG)
"May 3, 202607:00[527]",F9B5B1071‑33,"Vandenberg,SLC‑4E",CAS500-245 Rideshares,"500 kg (1,100 lb) CAS500-2",SSO,Korea Aerospace Industries& Others,Success,Success (LZ‑4)
"May 6, 202603:59[528]",F9B5B1081‑24,"Vandenberg,SLC‑4E",Starlink:Group 17-29,"~13,800 kg (30,400 lb)",SSO,SpaceX,Success,Success (OCISLY)
"May 12, 202602:13[529]",F9B5B1097‑9,"Vandenberg,SLC‑4E",NROL-172(Starshieldsatellites),Unknown,LEO,NRO,Success,Success (OCISLY)
"May 15, 202622:05[530]",F9B5B1096‑6,"Cape Canaveral,SLC‑40",SpaceX CRS-34(Cargo Dragon C209-6),"2,948 kg (6,499 lb)",LEO(ISS),NASA(CRS),Success,Success (LZ‑40)
